date,location,fatalities,state,activity,comments
2010-04-04,Francis Peak northwest of Farmington,1,UT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-04-02,Indian Creek drainage northwest of Alpine,1,WY,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-03-30,Near Brundage Mountain,2,ID,SNOWMOBILE,"3 snowmobilers caught, 2 buried and killed"
2010-03-30,"Near Baldy Peak, east of Ridgway",1,CO,CLIMB,"1 ice climber, approaching on skis, caught, buried, killed"
2010-03-30,"Peak 6996 near Marias Pass, Glacier NP",1,MT,SNOWBOARD,1 snowboarder caught and killed
2010-03-27,"Missoula Lake 10 miles SW of Superior, MT",1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed "
2010-03-19,Southwest of Creede,2,CO,OTHER,2 people caught and killed in a roof avalanche
2010-03-13,"North of Schweitzer Ski Area, Idaho Panhandle",1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-03-12,Near Antora Peak south of Buena Vista,1,CO,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-03-10,"Steep Gully #1, west of Arapahoe Basin Ski Area",1,CO,SNOWBOARD,"1 snowboarder caught, partially buried, and killed"
2010-02-23,Lindley Backcountry Hut south of Aspen ,1,CO,SKI,"1 skier caught, buried, and killed"
2010-02-21,"South Teton, Grand Teton NP",1,WY,SKI,1 skier caught and carried over cliffs
2010-02-13,"South Fork Eagle River, Alaska Three Bowls ",1,AK,SKI,"1 skier caught, buried, and killed"
2010-02-13,"Grandview, Placer River Drainage, Chugach NF",2,AK,SNOWMOBILE,"3 snowmobilers caught, 2 buried and killed"
2010-02-11,"Near the Ridgway Hut, San Juan Mountains",1,CO,SKI,"2 skiers caught, 1 injured and 1 killed"
2010-02-06,"North Fork of Murphy Creek, Wyoming Range",1,WY,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-01-30,Garns Mtn in the Big Hole Range west of Driggs,1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-01-29,"Grandview Pk, Session Mtns east of Bountiful",1,UT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-01-28,"Boardman Pass, Soldier Mountains west of Fairfield",1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-01-27,Meadows Chutes near Solitude Ski Area,1,UT,SKI,"1 skier caught, buried, and killed"
2010-01-24,"Hells Canyon, Snowbasin Backcountry",1,UT,SKI,"1 skier caught, partially buried, and killed"
2010-01-22,Off trail run in bounds at Sun Valley Ski Resort,1,ID,SKI,"1 skier caught, buried, and killed"
2010-01-06,"Battle Mountain, Vail sidecountry",1,CO,SNOWBOARD,"1 snowboarder caught, buried, and killed"
2010-01-06,Jackson Hole Mountain Resort,1,WY,SKI,"1 skier buried, recovered, and died in hospital"
2010-01-04,Scotch Bonnet Mountain near Cooke City,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-01-02,Paulina Peak east of La Pine,1,OR,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2010-01-02,"Pelican Butte, near Klamath Falls", ,OR,SNOWMOBILE,"1 snowmobiler caught, fully buried and recovered"
2009-12-18,Rock Lake west of Cascade,1,ID,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed, 1 fully  buried and recovered"
2009-12-15,Garfield Peak in Crater Lake National Park, ,OR,SKI,"1 skier caught, partially buried and injured"
2009-12-12,"Cardiac Ridge, Big Cottonwood Canyon", ,UT,SKI,"1 skier caught, fully buried, and recovered"
2009-12-10,Hyalite Canyon outside of Bozeman,1,MT,CLIMB,1 ice climber killed
2009-10-31,Granite Peak in the Tobacco Roots, ,MT,SKI,3 skiers caught
2009-10-31,Bartlett Mountain near Fremont Pass, ,CO,SKI,"1 skier caught, partially buried and injured"
2009-10-25,"Apache Peak, Indian Peaks", ,CO,SKI,"2 skiers caught, 1 completely buried and 1 partially buried"
2009-10-24,Trapper Peak south of Missoula, ,MT,SKI,4 skiers caught and partially buried
2011-05-22,Mount Frances,2,AK,CLIMB,2 climbers caught and killed
2011-05-21,Torrey's Peak,1,CO,SNOWBOARD,1 snowboarder caught and killed
2011-04-28,Ruth Glacier,1,AK,CLIMB,1 climber killed at camp from ice fall
2011-04-26,Split Mountain near Bishop,2,CA,SKI,"2 skiers caught, partly buried and killed"
2011-04-18,"Bird Ridge, Seward Highway",1,AK,HIKE,"1 hiker/sledder caught, partly buried and killed"
2011-04-16,Garnet Canyon,2,WY,SKI,"2 skiers caught, buried, and killed"
2011-04-04,Near Aspen Highlands,1,CO,SKI,1 skier caught and killed
2011-03-27,Steven's Pass,1,WA,SNOWBOARD,"1 snowboarder caught, carried, and killed"
2011-03-26,"Horseshoe Mtn, Manti Skyline",1,UT,SKI,"3 backcountry skiers caught, one killed"
2011-03-19,Hatcher Pass,1,AK,SKI,1 Backcountry skier caught and killed
2011-03-05,"Mount Cashmere, above Trout Creek, Leavenworth",1,WA,SKI,1 Backcountry skier caught and killed
2011-02-22,Backcountry near Snowmass,1,CO,SKI,1 Skier caught and killed
2011-02-20,"Sand Peak, Routt National Forest, Meeker",1,CO,SNOWMOBILE,"1 snowmobiler caught, burried, and killed"
2011-02-14,Truman Gulch,1,MT,SNOWBOARD,"1 snowboarder caught, buried, and killed"
2011-02-01,Snoqualmie Pass,1,WA,SKI,1 Backcountry skier killed after breaking cornice and falling
2011-01-17,Berthoud Pass,1,CO,SNOWBOARD,"1 snowboarder caught, buried, and killed"
2011-01-08,"Near Flathead Reservoir, MT",1,MT,SNOWMOBILE,"3 snowmobilers caught, burried, one killed"
2010-12-29,"Big Creek, NE of Calder, Shoshone County",1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed "
2010-12-05,Mt Trelease,1,CO,SKI,1 skier caught and killed
2010-12-04,"Morning Star Peak, north central Washington Cascades",1,WA,CLIMB,"1 climber caught, partially buried, and killed"
2010-11-26,"Cherry Hill, Western Uinta Mountains",1,UT,SNOWMOBILE,1 Snowmobiler caught and killed in avalanche
2010-11-22,Wolf Creek Ski area,1,CO,SKI,1 Ski Patrol caught and killed
2012-06-14,"Denali National Park, Mt McKinley, West Buttress",4,AK,CLIMB,"5 climbers caught, 1 injured (minor), 4 buried and presumed killed"
2012-03-30,"Ophir, Ophir Pass, Paradise Basin",1,CO,SKI,"1 backcountry skier caught, buried and killed"
2012-03-13,"Haines, Takhine Ridge",2,AK,SKI,"2 heli skiers caught, buried and killed"
2012-03-07,"Grand Teton NP, Ranger Peak, Waterfall Canyon",2,WY,SKI,"2 backcountry skiers caught, buried and killed"
2012-03-03,"Moab, La Sal Mountains, Beaver Basin ",1,UT,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2012-03-02,"Carson Pass, Lost Lakes, Forestdale Divide",1,CA,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2012-03-01,"Alpine Meadows, Ward Canyon, Stanford Rocks",1,CA,SKI,"1 backcountry skier caught, buried and killed"
2012-02-27,"Togwotee Pass, SE of Grouse Mountain, Dry Lake Creek",1,WY,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2012-02-25,"Marias Pass, Skyline Creek",1,MT,OTHER,"2 snowbike riders caught, 1 partly buried, 1 buried and killed"
2012-02-23,"The Canyons, Dutch Draw",1,UT,SNOWBOARD,"1 sidecountry snowboarder caught, buried and killed"
2012-02-21,"Cooke City, Daisy Pass, Miller Road",1,MT,SNOWMOBILE,"2 snowmobilers caught, 2 buried and 1 killed"
2012-02-20,"Kalispell, Lost Johnny drainage",1,MT,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed"
2012-02-19,"Stevens Pass, Cowboy Mountain, Tunnel Creek",3,WA,SKI,"5 sidecountry skiers caught, 1 partly buried, 3 buried and killed"
2012-02-19,"Alpental, WAC Bluffs, 80s Chute",1,WA,SNOWBOARD,"2 sidecountry snowboarders caught, 1 killed"
2012-02-16,"Wolf Creek Pass, Lobo Overlook, Gibbs Creek",1,CO,SKI,"3 backcountry skiers caught, 1 injured, 1 killed"
2012-02-13,"Telluride, Lower Bear Creek, Contention",1,CO,SNOWBOARD,"1 sidecountry snowboarder caught, buried and killed"
2012-02-05,"Richfield, Skyline, Lost Creek Reservoir",1,UT,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed"
2012-02-01,"Big Fork, Swan Range, Jewel Basin ",1,MT,SKI,"1 backcountry skier caught, buried and killed"
2012-01-28,"Big Cottonwood Canyon, Kessler Peak",1,UT,SKI,"1 backcountry snowboarder, caught, buried and killed"
2012-01-22,"Vail, Prima Cornice",1,CO,SKI,"3 skiers caught, 1 partly buried-critical and killed"
2012-01-22,"Winter Park, Trestle Trees",1,CO,SKI,1 skier caught and killed
2012-01-21,"Park Range, Chedsey Creek",1,CO,SNOWMOBILE,"2 snowmobilers (on foot) caught, 1 partly buried, 1 buried and killed"
2012-01-18,"Snowmass, Burnt Mountain",1,CO,SKI,1 sidecountry skier caught and killed
2012-01-01,"Phillipsburg, Flint Creek Range, Red Lion",1,MT,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2011-12-31,"Cooke City, Hayden Creek",1,WY,SKI,"1 backcountry skier caught, buried and killed"
2011-12-31,"Cooke City, Henderson Mountain, Fisher Creek",1,MT,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2011-11-13,Snowbird,1,UT,SNOWBOARD,1 backcountry snowboarder caught and killed
2013-04-20,"Loveland Pass, Mt. Snikta, Sheep Creek",5,CO,SNOWBOARD,"6 backcountry riders caught and buried, 5 killed"
2013-04-18,"Vail Pass, Ptarmigan Hill, Avalanche Bowl",1,CO,SNOWBOARD,1 backcountry (hybrid) snowboarder caught and killed
2013-04-13,"Granite Mountain, Snoqualmie Pass, Cascade Mountains",1,WA,HIKE,"3 hikers caught, 2 partly buried and injured, 1 buried and killed"
2013-04-13,"Red Mountain, Snoqualmie Pass, Cascade Mountains",1,WA,SNOWSHOE,"2 snowshoers caught, 2 buried, and 1 killed"
2013-04-11,"Big Cottonwood Canyon, Cardiff Fork",1,UT,OTHER,"1 avalanche forecaster caught, partly buried and killed"
2013-03-17,"Rocky Mountain National Park, Ypsilon Mtn, Fay Lakes",1,CO,CLIMB,"2 climbers caught, 1 killed & 1 injured"
2013-03-03,"Haines, Takhinsha Mountains, Kicking Horse River drainage",1,AK,SKI,"4 heliskiers caught, 2 seriously injured and 1 guide killed"
2013-03-02,"Jackson County, Cameron Pass, Nokhu Crags, Paradise Bowl",1,CO,SNOWBOARD,"2 backcountry skiers caught, 1 seriously injured, 1 killed"
2013-03-01,S end Manti Skyline just east of 12 Mile Canyon,1,UT,SNOWMOBILE,"1 snowmobiler, caught, buried and killed"
2013-03-01,"Mount Washington, Huntington Ravine, Pinnacle Gully",1,NH,CLIMB,1 solo ice climber caught and killed
2013-03-01,"Grand Teton National Park, Prospectors Mountain, Apocalypse Couloir",1,WY,SKI,"2 backcountry skiers caught, 1 partly buried and killed"
2013-02-16,Arapahoe Basin, ,CO,SKI,"15 in-area riders caught, 6-10 partly buried, 1 buried, 0 killed"
2013-02-02,"Silverton, Gladstone, Cement Creek, Clothesline Path",1,CO,SKI,"3 backcountry skiers caught, 2 partly buried and 1 injured, 1 buried and killed"
2013-01-27,"Grand Teton National Park, Survey Peak",1,WY,SKI,1 backcountry skier caught and killed
2013-01-27,"Jackson, Hoback Canyon, Cliff Creek, Clause Creek",1,WY,SKI,1 backcountry skier caught and killed
2013-01-18,"West Fork of Duchesne, western Uintas",2,UT,SNOWMOBILE,"3 snowmobilers (on foot) caught, 2 buried and killed"
2013-01-17,"Mount Washington, Huntington Ravine, Central Gully", ,NH,CLIMB,"12 ice cimbers caught, 3 injured"
2013-01-13,"Marble, Raspberry Creek, West Elk Mountains",1,CO,SKI,"1 backcountry skier caught, buried and killed"
2013-01-11,"PRESTON, NORTHERN BEAR RANGE, ST CHAR", ,ID,SNOWMOBILE,"1 snowmobiler caught, buried and injured"
2013-01-11,"PRESTON, NORTHERN BEAR RANGE, ST CHARLES CANYON", ,ID,SNOWMOBILE,"1 snowmobiler caught, buried and injured"
2012-12-30,Snowmass,1,CO,OTHER,1 ski patroller caught and killed
2012-12-24,Donner Ski Ranch,1,CA,SNOWBOARD,"1 snowboarder caught, buried and killed"
2012-12-24,Alpine Meadows,1,CA,OTHER,"1 ski patroller caught, buried and killed"
2014-05-28,"Mt. Rainier National Park,  Mt. Rainier, Liberty Ridge",6,WA,CLIMB,"6 climbers caught, buried and killed"
2014-05-14,"North Cascades National Park, Mt Shuksan",1,WA,SKI,1 backcountry skier caught and killed
2014-05-03,"Anaconda, Olson Gulch",1,MT,SKI,"1 backcountry skier caught, partly buried and killed"
2014-04-28,"Crater Lake National Park, Garfield Peak",1,OR,SNOWSHOE,1 snowshoer caught and killed 
2014-03-30,"La Pine, Newberry Volcano, Paulina Peak",1,OR,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2014-03-22,"Snoqualmie Pass, Granite Mountain, south side",1,WA,SKI,"1 backcountry skier caught, buried and killed"
2014-03-15,"Haines, Kicking Horse Valley, Tele Bowl",1,AK,SKI,"1 heli-ski guide caught, buried and killed"
2014-03-11,"Cooke City, Daisy Pass / Crown Butte",1,MT,SNOWMOBILE,"2 snowmobilers caught, 1 injured and 1 buried and killed"
2014-03-10,"Altoona Lakes, Flint Creek Range, NE of Phillipsburg",1,MT,SKI,"1 backcountry skier caught, buried and killed"
2014-03-07,"Uinta Mountains, Gold Hill",1,UT,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2014-03-05,"La Plata Mountains, Sharkstooth",1,CO,SNOWMOBILE,"1 snowmobiler caught, buried and killed (presumed)"
2014-03-04,"Eastern San Juans, Conejos Peak",1,CO,OTHER,"1 ski patroller caught, buried and killed"
2014-02-28,"Missoula, Rattlesnake Valley, Mt. Jumbo",1,MT,OTHER,"1 snowplayer and 2 residents caught and buried, 1 resident killed"
2014-02-22,"Troy, West Cabinet Mountain Range",1,MT,SNOWMOBILE,"2 snowmobilers caught, 1 partly (mostly) buried and 1 buried and killed"
2014-02-18,Togwotee Pass,1,WY,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2014-02-16,"Smoky Mountains, Frenchman Creek, west of Galena Summit",1,ID,SNOWMOBILE,"4 snowmobilers caught and buried, 1 killed"
2014-02-15,"Sawatch Range, Independence Pass, Star Mountain",2,CO,SKI,"5 backcountry skiers caught, 3 injured, 2 buried and killed"
2014-02-13,Bald Mountain Sidecountry near Ketchum, ,ID,SNOWBOARD,"1 snowboarder caught, partially buried, and injured"
2014-02-11,"Wallowa Mountains, near Cornucopia, Little Eagle Meadow",2,OR,SKI,"5 backcountry skiers caught, 2 partly buried, 2 injured and 2 killed"
2014-02-10,"Keystone, North Fork Swan River",1,CO,SKI,"2 out-of-area skiers caught, 1 partly buried, 1 buried and killed"
2014-02-10,"Crested Butte, Kebler Pass",1,CO,SNOWMOBILE,"2 snowmobilers caught, 1 partly buried, 1 buried and killed"
2014-02-09,"Sanpete County, Hungtington Reservoir",1,UT,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2014-02-08,"Wasatch Mountains, American Fork Canyon",1,UT,SNOWSHOE,"1 snowshoer caught, buried and killed"
2014-01-18,"Cascade Mountains, Barlow Pass, Lewis Peak",1,WA,CLIMB,1 climber caught and killed
2014-01-13,"Logan, Providence Canyon, Fair and Rodeo Grounds", ,UT,SNOWMOBILE,"1 snowmobiler caught, buried and injured"
2014-01-11,"Preston, Northern Bear Range, St Charles Canyon", ,ID,SNOWMOBILE,"1 snowmobiler caught, buried and injured"
2014-01-07,"Vail, East Vail Chutes, CDC",1,CO,SKI,"4 out-of-area skiers caught, 1 buried and killed, 3 injured"
2014-01-01,Portal Creek near Big Sky ,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2013-12-31,"Rabbit Ears Range, Willow Creek Pass, Parkview Mountain",1,CO,SNOWBOARD,"1 backcountry snowboarder caught, buried and killed"
2013-12-27,"Mount Washington, Tuckerman", ,NH,HIKE,2 hikers caught and injured
2013-12-26,"Swan Valley, Palisades Peak",1,ID,SNOWMOBILE,"1 snowmobiler caught, buried and killed"
2013-12-26,"Jackson, Pucker Face",1,WY,SKI,"1 out-of-area skier caught, buried and killed"
